Imagen,Prob. Sano,Prob. Enfermo
5397608false.png,0.16987433,0.83012563
5397642false.png,0.2072998,0.79270023
5397863false.png,0.73762876,0.26237124
5397896false.png,0.72402203,0.275978
5398092false.png,0.65160793,0.34839207
5398096false.png,0.09391044,0.90608954
5398312false.png,0.8001561,0.19984391
5398374false.png,0.5411765,0.45882353
5398745false.png,0.73484284,0.2651572
5398846false.png,0.25332442,0.74667555
5398918false.png,0.3904037,0.6095963
5399038false.png,0.5370787,0.4629213
5399252false.png,0.6560095,0.3439905
5399267false.png,0.7279208,0.27207923
5399326false.png,0.7135754,0.28642458
5399517false.png,0.718327,0.28167304
5399654false.png,0.44705632,0.5529437
5399951false.png,0.14676183,0.8532382
5400028false.png,0.41930586,0.58069414
5400111false.png,0.7424078,0.25759226
5400114false.png,0.4219849,0.57801515
5400209false.png,0.3239483,0.67605174
5400307false.png,0.32562912,0.6743709
5400461false.png,0.8180899,0.18191007
5400648false.png,0.72009856,0.27990147
5400679false.png,0.21187489,0.7881251
5400699false.png,0.818925,0.18107493
5400756false.png,0.92369384,0.07630615
5400801false.png,0.75408965,0.24591029
5400832false.png,0.56322044,0.43677956
5401018false.png,0.86083055,0.13916937
5401218false.png,0.4048179,0.59518206
5401835false.png,0.5276791,0.47232088
5401903false.png,0.80619895,0.19380109
5402319false.png,0.26118442,0.73881555
5402455false.png,0.86686337,0.13313663
5402553false.png,0.76799864,0.23200141
5402593false.png,0.5413444,0.4586556
5402637false.png,0.34935194,0.6506481
5402816false.png,0.90682244,0.0931776
5402960false.png,0.928901,0.07109898
5403176false.png,0.2232448,0.77675515
5403296false.png,0.15891068,0.84108937
5403319false.png,0.4518718,0.54812825
5403339false.png,0.75333226,0.24666774
5403477false.png,0.18557754,0.8144224
5403631false.png,0.17256026,0.8274397
5403700false.png,0.77133447,0.22866552
5403835false.png,0.64126664,0.35873333
5403962false.png,0.2984951,0.7015049
5404204false.png,0.69780886,0.3021911
5404245false.png,0.30785713,0.69214284
5404308false.png,0.68129504,0.318705
5404339false.png,0.761599,0.238401
5404361false.png,0.321444,0.678556
5404375false.png,0.24058644,0.75941354
5404459false.png,0.122756094,0.8772439
5404592false.png,0.7381743,0.26182568
5404622false.png,0.4748538,0.5251461
5404957false.png,0.8624424,0.13755764
5405103false.png,0.1794888,0.8205112
5405114false.png,0.39691398,0.603086
5405125false.png,0.2570703,0.7429297
5405177false.png,0.71652657,0.2834734
5405194false.png,0.80809236,0.19190764
5405512false.png,0.62168777,0.37831232
5405667false.png,0.63684696,0.363153
5405848false.png,0.34580016,0.65419984
5405901false.png,0.5817765,0.4182235
5405911false.png,0.20529903,0.7947009
5406088false.png,0.5193057,0.48069426
5406113false.png,0.089944795,0.9100552
5406226false.png,0.4856695,0.5143305
5406241false.png,0.8437187,0.1562813
5406257false.png,0.39591864,0.60408133
5406265false.png,0.65972906,0.340271
1.png,0.12965494,0.8703451
10.png,0.57900697,0.42099303
11.png,0.62302446,0.37697554
12.png,0.16263303,0.83736694
13.png,0.13299602,0.8670039
14.png,0.3574641,0.64253587
15.png,0.52630544,0.47369456
16.png,0.7015942,0.29840577
17.png,0.30557624,0.6944238
18.png,0.69104254,0.30895746
19.png,0.39760995,0.60239005
2.png,0.93943006,0.060569942
20.png,0.718903,0.28109702
21.png,0.7594035,0.24059655
22.png,0.5062911,0.4937089
23.png,0.23695141,0.7630486
25.png,0.8214755,0.17852451
26.png,0.46394768,0.5360523
27.png,0.4926096,0.5073904
28.png,0.34478298,0.655217
29.png,0.6272759,0.3727241
3.png,0.8534746,0.1465254
30.png,0.3143604,0.68563956
31.png,0.5861886,0.41381133
32.png,0.733838,0.26616195
33.png,0.20265585,0.79734415
34.png,0.31587875,0.6841212
35.png,0.6940283,0.30597165
36.png,0.66726536,0.33273458
37.png,0.8368893,0.16311066
38.png,0.8670381,0.13296194
39.png,0.80003446,0.19996555
4.png,0.56392163,0.43607834
40.png,0.9241332,0.07586688
41.png,0.7707384,0.22926164
42.png,0.8500358,0.14996417
43.png,0.8379923,0.16200764
44.png,0.7391891,0.2608109
45.png,0.7077641,0.2922359
46.png,0.818319,0.18168102
47.png,0.95596087,0.04403921
48.png,0.9366881,0.06331181
49.png,0.6765954,0.3234046
5.png,0.73042256,0.26957747
50.png,0.84421515,0.15578489
51.png,0.6392992,0.36070076
52.png,0.28479376,0.7152062
53.png,0.61122435,0.38877565
6.png,0.8314015,0.16859847
7.png,0.732798,0.26720205
8.png,0.79637796,0.20362204
9.png,0.52470636,0.47529355
Hospital Rivadavia 1.png,0.516095,0.48390505
Pacente 5 - Monica.png,0.19537276,0.80462724
Paciente 1.png,0.6320433,0.3679567
Paciente 3.png,0.545531,0.454469
Paciente 4.png,0.45715478,0.54284525
Paciente 5.png,0.23197515,0.7680248
Paciente 6 - Elsa-2.png,0.40579125,0.5942087
Paciente 6 - Elsa.png,0.48159012,0.5184098
Paciente 6.png,0.3260255,0.6739745
